"mouseID"	"date"	"diet"	"relativeTime"	"status"
"PM1:20080107"	"PM1"	2008-01-07	"BK"	21	"0"
"PM1:20080108"	"PM1"	2008-01-08	"BK"	22	"0"
"PM1:20080114"	"PM1"	2008-01-14	"BK"	28	"0"
"PM1:20071211"	"PM1"	2007-12-11	"BK"	0	"0"
"PM1:20080121"	"PM1"	2008-01-21	"BK"	35	"0"
"PM1:20071217"	"PM1"	2007-12-17	"BK"	6	"0"
"PM1:20080128"	"PM1"	2008-01-28	"BK"	42	"0"
"PM1:20080204"	"PM1"	2008-02-04	"BK"	49	"0"
"PM1:20080211"	"PM1"	2008-02-11	"BK"	56	"0"
"PM1:20080218"	"PM1"	2008-02-18	"BK"	63	"0"
"PM1:20080225"	"PM1"	2008-02-25	"BK"	70	"0"
"PM1:20080303"	"PM1"	2008-03-03	"BK"	77	"0"
"PM10:20080107"	"PM10"	2008-01-07	"BK"	21	"1"
"PM10:20080108"	"PM10"	2008-01-08	"Western"	22	"1"
"PM10:20080114"	"PM10"	2008-01-14	"Western"	28	"1"
"PM10:20071211"	"PM10"	2007-12-11	"BK"	0	"1"
"PM10:20080121"	"PM10"	2008-01-21	"Western"	35	"1"
"PM10:20071217"	"PM10"	2007-12-17	"BK"	6	"1"
"PM10:20080128"	"PM10"	2008-01-28	"Western"	42	"1"
"PM10:20080204"	"PM10"	2008-02-04	"Western"	49	"1"
"PM10:20080211"	"PM10"	2008-02-11	"Western"	56	"1"
"PM10:20080218"	"PM10"	2008-02-18	"Western"	63	"1"
"PM10:20080225"	"PM10"	2008-02-25	"Western"	70	"1"
"PM10:20080303"	"PM10"	2008-03-03	"Western"	77	"1"
"PM11:20080107"	"PM11"	2008-01-07	"BK"	21	"0"
"PM11:20080108"	"PM11"	2008-01-08	"BK"	22	"0"
"PM11:20080114"	"PM11"	2008-01-14	"BK"	28	"0"
"PM11:20071211"	"PM11"	2007-12-11	"BK"	0	"0"
"PM11:20080121"	"PM11"	2008-01-21	"BK"	35	"0"
"PM11:20071217"	"PM11"	2007-12-17	"BK"	6	"0"
"PM11:20080128"	"PM11"	2008-01-28	"BK"	42	"0"
"PM11:20080204"	"PM11"	2008-02-04	"BK"	49	"0"
"PM11:20080211"	"PM11"	2008-02-11	"BK"	56	"0"
"PM11:20080218"	"PM11"	2008-02-18	"BK"	63	"0"
"PM11:20080225"	"PM11"	2008-02-25	"BK"	70	"0"
"PM11:20080303"	"PM11"	2008-03-03	"BK"	77	"0"
"PM12:20080107"	"PM12"	2008-01-07	"BK"	21	"1"
"PM12:20080108"	"PM12"	2008-01-08	"Western"	22	"1"
"PM12:20080114"	"PM12"	2008-01-14	"Western"	28	"1"
"PM12:20080121"	"PM12"	2008-01-21	"Western"	35	"1"
"PM12:20071217"	"PM12"	2007-12-17	"BK"	6	"1"
"PM12:20080128"	"PM12"	2008-01-28	"Western"	42	"1"
"PM12:20080204"	"PM12"	2008-02-04	"Western"	49	"1"
"PM12:20080211"	"PM12"	2008-02-11	"Western"	56	"1"
"PM12:20080218"	"PM12"	2008-02-18	"Western"	63	"1"
"PM12:20080225"	"PM12"	2008-02-25	"Western"	70	"1"
"PM12:20080303"	"PM12"	2008-03-03	"Western"	77	"1"
"PM2:20080107"	"PM2"	2008-01-07	"BK"	21	"0"
"PM2:20080108"	"PM2"	2008-01-08	"BK"	22	"0"
"PM2:20080114"	"PM2"	2008-01-14	"BK"	28	"0"
"PM2:20071211"	"PM2"	2007-12-11	"BK"	0	"0"
"PM2:20080121"	"PM2"	2008-01-21	"BK"	35	"0"
"PM2:20071217"	"PM2"	2007-12-17	"BK"	6	"0"
"PM2:20080128"	"PM2"	2008-01-28	"BK"	42	"0"
"PM2:20080204"	"PM2"	2008-02-04	"BK"	49	"0"
"PM2:20080211"	"PM2"	2008-02-11	"BK"	56	"0"
"PM2:20080218"	"PM2"	2008-02-18	"BK"	63	"0"
"PM2:20080225"	"PM2"	2008-02-25	"BK"	70	"0"
"PM2:20080303"	"PM2"	2008-03-03	"BK"	77	"0"
"PM3:20080107"	"PM3"	2008-01-07	"BK"	21	"0"
"PM3:20080108"	"PM3"	2008-01-08	"BK"	22	"0"
"PM3:20080114"	"PM3"	2008-01-14	"BK"	28	"0"
"PM3:20071211"	"PM3"	2007-12-11	"BK"	0	"0"
"PM3:20080121"	"PM3"	2008-01-21	"BK"	35	"0"
"PM3:20071217"	"PM3"	2007-12-17	"BK"	6	"0"
"PM3:20080128"	"PM3"	2008-01-28	"BK"	42	"0"
"PM3:20080204"	"PM3"	2008-02-04	"BK"	49	"0"
"PM3:20080211"	"PM3"	2008-02-11	"BK"	56	"0"
"PM3:20080218"	"PM3"	2008-02-18	"BK"	63	"0"
"PM3:20080225"	"PM3"	2008-02-25	"BK"	70	"0"
"PM3:20080303"	"PM3"	2008-03-03	"BK"	77	"0"
"PM4:20080107"	"PM4"	2008-01-07	"BK"	21	"0"
"PM4:20080108"	"PM4"	2008-01-08	"BK"	22	"0"
"PM4:20080114"	"PM4"	2008-01-14	"BK"	28	"0"
"PM4:20080121"	"PM4"	2008-01-21	"BK"	35	"0"
"PM4:20071217"	"PM4"	2007-12-17	"BK"	6	"0"
"PM4:20080128"	"PM4"	2008-01-28	"BK"	42	"0"
"PM4:20080204"	"PM4"	2008-02-04	"BK"	49	"0"
"PM4:20080211"	"PM4"	2008-02-11	"BK"	56	"0"
"PM4:20080218"	"PM4"	2008-02-18	"BK"	63	"0"
"PM4:20080225"	"PM4"	2008-02-25	"BK"	70	"0"
"PM4:20080303"	"PM4"	2008-03-03	"BK"	77	"0"
"PM5:20080107"	"PM5"	2008-01-07	"BK"	21	"1"
"PM5:20080108"	"PM5"	2008-01-08	"Western"	22	"1"
"PM5:20080114"	"PM5"	2008-01-14	"Western"	28	"1"
"PM5:20071211"	"PM5"	2007-12-11	"BK"	0	"1"
"PM5:20080121"	"PM5"	2008-01-21	"Western"	35	"1"
"PM5:20071217"	"PM5"	2007-12-17	"BK"	6	"1"
"PM5:20080128"	"PM5"	2008-01-28	"Western"	42	"1"
"PM5:20080204"	"PM5"	2008-02-04	"Western"	49	"1"
"PM5:20080211"	"PM5"	2008-02-11	"Western"	56	"1"
"PM5:20080218"	"PM5"	2008-02-18	"Western"	63	"1"
"PM5:20080225"	"PM5"	2008-02-25	"Western"	70	"1"
"PM5:20080303"	"PM5"	2008-03-03	"Western"	77	"1"
"PM6:20080107"	"PM6"	2008-01-07	"BK"	21	"1"
"PM6:20080108"	"PM6"	2008-01-08	"Western"	22	"1"
"PM6:20080114"	"PM6"	2008-01-14	"Western"	28	"1"
"PM6:20080121"	"PM6"	2008-01-21	"Western"	35	"1"
"PM6:20071217"	"PM6"	2007-12-17	"BK"	6	"1"
"PM6:20080128"	"PM6"	2008-01-28	"Western"	42	"1"
"PM6:20080204"	"PM6"	2008-02-04	"Western"	49	"1"
"PM6:20080211"	"PM6"	2008-02-11	"Western"	56	"1"
"PM6:20080218"	"PM6"	2008-02-18	"Western"	63	"1"
"PM6:20080225"	"PM6"	2008-02-25	"Western"	70	"1"
"PM6:20080303"	"PM6"	2008-03-03	"Western"	77	"1"
"PM7:20080114"	"PM7"	2008-01-14	"BK"	28	"0"
"PM7:20071211"	"PM7"	2007-12-11	"BK"	0	"0"
"PM7:20080121"	"PM7"	2008-01-21	"BK"	35	"0"
"PM7:20071217"	"PM7"	2007-12-17	"BK"	6	"0"
"PM7:20080128"	"PM7"	2008-01-28	"BK"	42	"0"
"PM7:20080204"	"PM7"	2008-02-04	"BK"	49	"0"
"PM7:20080211"	"PM7"	2008-02-11	"BK"	56	"0"
"PM7:20080218"	"PM7"	2008-02-18	"BK"	63	"0"
"PM7:20080225"	"PM7"	2008-02-25	"BK"	70	"0"
"PM7:20080303"	"PM7"	2008-03-03	"BK"	77	"0"
"PM8:20080107"	"PM8"	2008-01-07	"BK"	21	"1"
"PM8:20080108"	"PM8"	2008-01-08	"Western"	22	"1"
"PM8:20080114"	"PM8"	2008-01-14	"Western"	28	"1"
"PM8:20071211"	"PM8"	2007-12-11	"BK"	0	"1"
"PM8:20080121"	"PM8"	2008-01-21	"Western"	35	"1"
"PM8:20071217"	"PM8"	2007-12-17	"BK"	6	"1"
"PM8:20080128"	"PM8"	2008-01-28	"Western"	42	"1"
"PM8:20080204"	"PM8"	2008-02-04	"Western"	49	"1"
"PM8:20080211"	"PM8"	2008-02-11	"Western"	56	"1"
"PM8:20080218"	"PM8"	2008-02-18	"Western"	63	"1"
"PM8:20080225"	"PM8"	2008-02-25	"Western"	70	"1"
"PM8:20080303"	"PM8"	2008-03-03	"Western"	77	"1"
"PM9:20080107"	"PM9"	2008-01-07	"BK"	21	"1"
"PM9:20080108"	"PM9"	2008-01-08	"Western"	22	"1"
"PM9:20080114"	"PM9"	2008-01-14	"Western"	28	"1"
"PM9:20071211"	"PM9"	2007-12-11	"BK"	0	"1"
"PM9:20080121"	"PM9"	2008-01-21	"Western"	35	"1"
"PM9:20071217"	"PM9"	2007-12-17	"BK"	6	"1"
"PM9:20080128"	"PM9"	2008-01-28	"Western"	42	"1"
"PM9:20080204"	"PM9"	2008-02-04	"Western"	49	"1"
"PM9:20080211"	"PM9"	2008-02-11	"Western"	56	"1"
"PM9:20080218"	"PM9"	2008-02-18	"Western"	63	"1"
"PM9:20080225"	"PM9"	2008-02-25	"Western"	70	"1"
"PM9:20080303"	"PM9"	2008-03-03	"Western"	77	"1"
